
=== as_price: 94/1992 mismatches (4.7%) ===
[126] true=positive pred=neutral | sách chất lượng lượng và giá phải chăng lắm ạ
[1170] true=negative pred=neutral | chưa lần nào mua sách ở tiki mà lần này lại dính sách lởm như thế này. sách thì cũ, bìa giấy thì nát, sờn mép, bung bét lại còn bẩn. aa, mua tặng sinh nhật cho ...
[1190] true=negative pred=neutral | sản phẩm tệ so với giá , sách vậy rồi sao đọc đây tiki
[1203] true=negative pred=neutral | boxset có vài quyển bị móp méo méo và hằn ở bìa nên mình khiếu nại để đổi sản phẩm mới, nhân viên đồng ý, mình gửi lại hàng để đổi nhưng bẵng đi vài ngày thì ti...
[1227] true=negative pred=neutral | lấy nhằm sách cũ nên giá mới giảm như vậy
[1230] true=negative pred=neutral | tự ý huỷ đơn đã đặt (2 quyển). rồi lại tự ý giao 1 quyển, với giá tiền cao hơn. rất tệ
[1231] true=negative pred=neutral | sách khá đắt, nội dung tốt nhưng quyển mỏng ít nôi dung
[1237] true=negative pred=neutral | mua là phiên bản phim đặc biệt mà về thì là bản thường còn tặng kèm quyển sổ chưa đến lòng bàn tay mua ngoài chưa đến 10 nghìn .cửa hàng rất vớ vẩn mà lại tính ...
[1238] true=negative pred=neutral | giá đắt nhé. chưa kể là phiên bản phim nhưng lại chỉ là một cuốn truyện và một cuốn sổ tay từ đâu đó. chất lượng giấy của sổ cũng chưa đạt đến mức là ổn. => thấ...
[1243] true=negative pred=neutral | ừ thì mình người việt nên hiểu tiếng việt, phần dịch tiếng anh thì có vẻ rất sai nhé. câu tiếng anh có ý nghĩa hoàn toàn khác so với phần tiếng việt ở trên, nên...
[1258] true=negative pred=neutral | cuốn sách nhỏ nằm gọn trong lòng bàn tay và nội dung chính chỉ vỏn vẹn khoảng 230 trang mà giá gốc lại tới 188k thì thực sự quá đắt rồi!! mình mua cuốn sách này...
[1264] true=negative pred=absent | sách đắt nhiều lỗi chính tả, tên riêng không viết hoa
[1284] true=negative pred=neutral | đóng gói tệ, sách bẩn, ọp ẹp, so với giá gần 500k thì không xứng đáng với chất lượng lượng sản phẩm, sách kiểu tồn kho
[1286] true=negative pred=neutral | (*) đánh giá không tính điểm sách móp méo hết trơn. tự nhiên mua sách giá cao mà về tới tay bể móp méo
[1311] true=negative pred=neutral | lúc mình đặt sách thì đặt nhiều cuốn cùng 1 lúc nên không để ý giá thanh toán,lúc mình về thì người nhà nhận hàng thanh toán cao hơn giá niêm yết
[1353] true=negative pred=neutral | y như bách khoa toàn thư về địa lý thời pháp, đọc khá chán. không tương ứng với giá tiền. mua quyển các tỉnh miền tây là đủ nếu nhu cầu tìm hiểu về sài gòn và p...
[1369] true=negative pred=neutral | không hiểu sao không có đóng gói nilon ở ngoài làm sách bị gấp mép bìa nhìn bực không chịu được. cảm giác sách bị mở rồi. mà có rẻ đâu gần 200 ngàn huhu
[1383] true=positive pred=neutral | vào lúc mình mua sách giảm giá 5p% còn 79k thì giao hàng về với giá 79k thì nội dung sách vừa giá nhưng bìa sách rất mỏng, mỏng hơn vở mình học :)) nên cho 3 sa...
[1406] true=positive pred=absent | lần này mình thanh toán *** pay trước đây là lần đầu tiên mình xài ***pay cho tiki nhưng hơn 1 tuần mới nhận hàng. mình đặt thứ 4 (14/10) dự kiến t2 (19/10) gia...
[1442] true=negative pred=neutral | quá cơ bản, không xứng đáng với giá tiền. ngay cả những phím tắt khi sử dụng máy tính cũng đưa vào sách là biết level rồi
[1443] true=negative pred=neutral | sách toàn nói lung tung về chứng khoán mỹ, nội dung không có gì nhiều, phí tiền mua
[1447] true=negative pred=neutral | lãng phí tiền. nếu có ý định mua quyển này thì khuyên các bạn nên mua cuốn "đừng bao giờ đi ăn một mình" của keith ferrazzi
[1480] true=positive pred=neutral | ưu điểm là giao hàng nhanh,được kiểm tra hàng trước thanh toán, đóng gói cẩn thận, giá tốt thôi chứ không hề rẻ nhé. nhược điểm : chất lượng lượng giấy quá kém ...
[1522] true=negative pred=neutral | nội dung *** quá ***. chả hiểu viết gì. tốn tiền
[1527] true=negative pred=neutral | thực sự rất thất vọng về tiki. mua sách tâm lý thị trường, thì đi giao một cuốn sách khác lạ và giá rẻ hơn giá mua. tại sao một công ty lớn lại làm ăn *** dối k...
[1534] true=positive pred=neutral | 500 trang, sách nhẹ tênh như cầm quốn báo buổi sáng. chất lượng lượng giấy in khoibg được tốt, tất nhiên bù lại giá rẻ,
[1540] true=negative pred=neutral | các nhà bán đang dần bỏ tiki để qua *** cửa hàng đồng thời đội ngũ nhân viên đang tập tành livestream bán sách 24/7. tiki nên điều chỉnh giá & chiến lượt tốt hơ...
[1575] true=negative pred=neutral | mình thực sự không hài lòng cách đóng gói và vận chuyển. gáy sách hoặc phần bìa sách luôn bị cấn/móp méo/trầy xước/xướt. sách còn bẩn nữa. thực sự rất mình rất ...
[1591] true=negative pred=neutral | sách khá đắt so với nội dung. nếu so cuốn này với cuốn "3 phút sơ cứu" thì thông tin trong cuốn này còn sơ sài, sách không có tên tác giả chủ đạo. cũng vì cái k...
[1603] true=negative pred=neutral | sách đắt như vậy tưởng tranh minh họa in màu, hóa ra in đen trắng, tối thui một cục.
[1608] true=negative pred=neutral | quyển này chỉ được hình thức đẹp, giấy dày, in màu. nội dung sách không phù hợp với trẻ 6t, theo tôi thì 10t trở lên mới hiểu tương đối 1 phần các câu trong sác...
[1620] true=negative pred=neutral | về nội dung mình không nói vì chưa đọc hết. cảm quan bên ngoài khi nhận được sách thấy hơi thất vọng vì khổ sách nhỏ và mỏng. so với giá 252k(cả giao hàng) thì ...
[1637] true=negative pred=neutral | sách này viết như hạch, chỉ tổ tốn tiền và mất thời gian, viết cho có thôi, chẳng thấy học được gì thật thất vọng =(
[1653] true=negative pred=neutral | đọc được già nửa cuốn sách thỳ mình thực sự bắt đầu cảm thấy bị rối, sách không hay như mong đợi, nội dung thỳ tập trung vào các câu chuyện của tác giả là chủ y...
[1656] true=negative pred=neutral | nội dung chỉ có mỗi trang bìa là đáng đọc; 286 trang còn lại giọng điệu dạy giỗ, cao ngạo; không chỉ ra được các cách thức và phương pháp rèn dũa kĩ thuật. cuốn...
[1658] true=positive pred=neutral | mình không biết nên viết như nào nhưng mà mình không hài lòng quyển này! *bài viết chỉ mang đánh giá cá nhân, vẫn nên tự đọc để kết luận* qua rất nhiều quyển về...
[1682] true=negative pred=neutral | sách không có nhiều điểm mới, giá cao so với chất lượng lượng ndung
[1699] true=negative pred=neutral | vậy chốt, làm cách nào giảm 7kg trong 30 ngày?? 1 sản phẩm của pr, mất thời gian, phí tiền. những thông tin này, google đầy rồi, không đáng 199k.
[1716] true=negative pred=neutral | được cái bìa, không đáng đồng tiền
[1732] true=negative pred=neutral | bìa 2 có keo dính vào trang đầu, gây rách giấy. trang cuối có vệt ố vàng. giấy cắt chưa tốt. nói chung là cầm cuốn sách không thấy đáng tiền về hình thức, cảm g...
[1762] true=negative pred=absent | lúc bạn giao hàng tiki tới, mình không có nhà nên nhờ bạn mình xuống lấy dùm, giá quyển sách là 162k, bạn mình đưa 200k thì thối lại 30k, còn thiếu 8k thì kêu b...
[1764] true=negative pred=neutral | về hình thức 1. cảm giác giống cầm một quyển bài thu hoạch của sinh viên mang ra tiệm in. hơn là một quyển sách có in to 2 chữ "bách khoa" và với mức giá không ...
[1783] true=positive pred=neutral | mình đặt sách để dạy học, mà sách 1 số quyển hơi bẩn chút mình chấp nhận vì giá giảm giá rẻ. nhưng 1 quyển rách và cũ như hình thì mình không chấp nhận. đề nghỉ...
[1812] true=negative pred=absent | alo cửa hàng, mình đặt 1 cuốn thôi sao giao tới 2 cuốn làm mình phải trả tiền 2 lần luôn? cửa hàng xử lý giúp mình?
[1814] true=negative pred=neutral | nếu ai đọc sách sẽ biết cảm giác nâng niu từng cuốn sách của mình đọc. nhưng có lẽ tiki đã quên đi giá trị của sách sau ngần ấy năm. tiki bắt đầu thương mại hoá...
[1815] true=negative pred=neutral | nhận sách mà không vui chút nào. giá trị sách không rẻ. sách không đóng gói gì còn bị móp méo méo quăng góc . nhìn như sách cũ.
[1822] true=negative pred=neutral | đừng ai dại mua quyển này tiếng việt nhé. chưa bao giờ cảm thấy tiếc 150k như vậy luôn. một quyển sách google translate đúng nghĩa. đọc đến trang 47 là xỉu vì n...
[1846] true=negative pred=neutral | thật ra nội dung có thể xem trong trang web là cũng đầy đủ lắm rồi. các file có thể vào kimngocthuy.com/sotay là download về là có hết. gần như nữa cuốn sách ph...
[1847] true=negative pred=neutral | hi vọng cao, thất vọng nhiều. đơn giản quyển này chỉ là tổng hợp 1 vài tip ở trên mạng. với giá 120k thì quá đắt
[1869] true=positive pred=neutral | sách được giảm giá sâu so với giá bìa
[1926] true=negative pred=absent | cho 1 sao vì gói sách ẩu tả, mua đơn hàng 800k sáng mở ra cuốn nào cũng bị cắt lề méo mó khó chịu không thể diễn tả được, bỏ tiền mua book care để nhận được sản...
[1943] true=negative pred=neutral | không nên mua sách này. sách in giấy rất bóng và mỏng. bóng nên bị loá ánh đèn. mỏng thì thấy luôn chữ in ở mặt bên kia. nên đọc rất nhanh mỏi mắt. giá cao nữa.
[1982] true=negative pred=neutral | sách đơn giản, ít trang nên bé mau chán. hơi đắt.
