
=== as_delivery: 360/1992 mismatches (18.1%) ===
[6] true=negative pred=neutral | giao hàng lâu
[222] true=positive pred=neutral | tuy chưa đọc nhưng mình khá hứng thú với chủ đề này sau khi đọc xong cuốn osho phụ nữ, trong đó osho có đề cập đến vấn đề quan hệ vc mono 1-1 là đi ngược lại tự...
[223] true=positive pred=neutral | giao hàng nhanh. mình chưa đọc hết, nhưng chỉ đọc mấy trang đầu dường như đã nói hết được những suy nghĩ của mình. nếu bạn nào từng có tổn thương trong quá khứ,...
[227] true=positive pred=neutral | giao hàng rất nhanh,đặt hôm thứ 7 mà cn đã nhận được rồi,nhưng mà giao hàng không tốt, sách không có đóng gói gì cả,cong hết cả rồi. còn về nội dung thì mình ch...
[229] true=positive pred=neutral | sách đẹp lắm , còn dày nữaa . hàng về hơi móp méo may mà sách bên trong không bị làm sao . giao nhanh , không có đóng gói nilong nên sách có chút bụi .
[237] true=positive pred=neutral | hơi thất vọng vì sách không có bìa bao đóng gói, hơi bẩn híc. 4 sao vì anh người giao hàng cute.
[238] true=positive pred=neutral | bìa cực hài lòng luôn, giao rất nhanh
[239] true=negative pred=neutral | cập nhật trạng thái lâu, đóng gói không cẩn thận, giao hàng chậm, sách bị nhăn góc.
[244] true=positive pred=neutral | mua quyển này tặng mẹ, mới cứng coong, còn chưa cả bóc nilon nên thơm mùi sách mới. về nội dung thì có lẽ thiên về sách tâm lý học, cũng chưa đọc bao giờ nên kh...
[252] true=positive pred=neutral | không biết bên fahasha hay tiki có kiểm tra sản phẩm trước khi gói gửi cho khách không mà bị như vậy. lỗi này chắc chắn không phải do vận chuyển. dù vc nhanh, n...
[259] true=negative pred=neutral | sách đặt ngày 16/10, hệ thống báo sẽ giao ngày 19/10 nhưng đến tận ngày 24/10 giao hàng mới giao lần 1, tôi đi vắng nên 26/10 mới giao thành công. cốt lõi ở đây...
[262] true=positive pred=absent | mình thấy sách của nguyễn hiến lê mới ra liền đặt hôm sau nhận sách , nhìn tổng quan sách giấy đẹp và cầm rất thích nói chung rất tốt cảm ơn tiki
[273] true=positive pred=neutral | đang đọc, nội dung tốt, giao hàng nhanh, 5 sao cho giao hàng
[277] true=neutral pred=positive | truyện mới đủ bộ như mô tả, nguyên đai nguyên kiện, tiki đóng gói cẩn thận, giá rẻ lại còn được free giao hàng. giao hàng 5 ngày từ đà nẵng đến quảng ninh. khôn...
[279] true=positive pred=neutral | được đóng gói theo combo nên là khá tiện. giao hàng khá nhanh. cảm ơn tiki
[285] true=positive pred=absent | 1 vé trở lại tuổi thơ, bộ truyện đầy đủ, đóng gói cẩn thận, mình mua bộ này lúc giảm giá 35% nên chất lượng lượng như vậy là rất hài lòng rồi?
[287] true=positive pred=neutral | sách đủ bộ tốt
[289] true=negative pred=absent | hủy đơn không lí do!!
[290] true=positive pred=neutral | giao nhanh, sách mới, hài lòng với sản phẩm
[295] true=positive pred=neutral | tuyệt vời. đóng gói cực kỳ tốt. giao nhanh hơn dự kiến 1 ngày nữa. rất hài lòng!
[296] true=positive pred=neutral | tốt.hang gửi nhanh
[302] true=positive pred=neutral | sản phẩm tốt, giao hàng nhanh
[309] true=positive pred=neutral | giao hàng nhanh chóng, sách bị móp méo góc và hơi bẩn sách
[314] true=positive pred=neutral | sách đẹp, giao nhanh, nội dung hay
[334] true=positive pred=neutral | tốt la giao nhanh
[339] true=positive pred=neutral | đặt buổi sáng và buổi chiều đã có rồi! nhanh quá!
[340] true=positive pred=neutral | vote cho tiki 5 sao luôn vì tận tâm, mình mua mấy quyển lận nhưng giao hàng chia theo đợt chia. 1 quyển sách nhỏ vẫn đóng gói rất tỉ mỉ
[341] true=positive pred=neutral | hàng giao nhanh rất đúng sản phẩm
[344] true=positive pred=neutral | chất lượng lượng in tốt, giấy tốt. giao hàng nhanh!
[347] true=positive pred=neutral | tiki giao hàng siêu nhanh luôn nhé. sách tốt này
[349] true=positive pred=neutral | nội dung khá là mới lạ và hấp dẫn ngay từ đầu nhé. tiki now giao sách rất nhanh, chất lượng lượng giấy và in đều ổn, khổ nhỏ nên cầm rất gọn luôn, đặc biệt là c...
[358] true=positive pred=neutral | giao hàng nhanh mới tinh
[361] true=positive pred=neutral | giao nhanh, đúng sản phẩm
[362] true=negative pred=absent | vừa mới nhận sách nên chưa đánh giá được nội dung. sách vừa gọn, dễ bỏ túi mang theo đọc. có bọc sách nữa best luôn. chỉ là mình hơi thất vọng trong khâu vận ch...
[365] true=positive pred=neutral | mình thấy giao hàng khá nhanh, 11:30 đặt thì tầm 13g30 nhận. đóng gói chỉnh chu và cẩn thận, được tặng kèm 1 lốc sữa nữa. quyển sách tuy to, dày nhưng cầm nhẹ t...
[372] true=positive pred=neutral | tiki giao hàng cực kì nhanh và kèm theo đó là khâu đóng gói khá sơ sài nhưng cũng may là sách không bị bóp méo quá nhiều
[383] true=positive pred=neutral | sách đẹp, giao hàng nhanh. trong sách có nói kèm theo đĩa luyện nghe mp3 , tuy nhiên khi mở hàng ra thì không thấy có. đề nghị tiki gửi bổ sung giúp mình đĩa để...
[391] true=positive pred=neutral | sách vừa hay, tiki giao hàng vừa nhanh. sẽ ủng hộ tiki dài dài.
[409] true=positive pred=neutral | giao hàng nhanh. nội dung hay . nên mua
[412] true=positive pred=neutral | sách rất hay, tiki giao hàng nhanh
[416] true=positive pred=neutral | sách hay về dinh dưỡng học. đúng vấn đề mình muốn tìm hiểu, đáng xem để biết thêm các kiến thức về thực phẩm. sự kết hợp dinh dưỡng đông & tây (âm - dương, axit...
[424] true=positive pred=absent | đơn giản là một quyển sách về cuộc đối thoại giữa 3 con người uyên bác bàn về triết lý giáo dục giao thoa giữa 2 nhà hoạt động giáo dục nổi tiếng hơn chục năm v...
[425] true=positive pred=neutral | sách giao nhanh, cũng còn khá mới. xem qua nội dung thì đánh giá đây là 1 cuốn sách dễ hiểu, với khai sáng được thêm 1 số vấn đề. đáng đọc !!
[436] true=positive pred=neutral | sách hay, giao hàng nhanh đặc biệt là thiết kế rất bắt mắt, không có cảm giác đang đọc cuốn sách cổ lâu đời 1 xíu nào
[444] true=positive pred=neutral | giao hàng rất nhanh, bìa sách còn rất đẹp
[447] true=positive pred=neutral | sách giao nhanh, in ấn chất lượng lượng, nội dung đối với mình thì hơi khó hiểu, chắc phải đọc đi đọc lại vài lần cho thấm mới được
[451] true=positive pred=neutral | tuyệt sáng đẹp giao nhanh
[453] true=positive pred=neutral | giao hàng và chất lượng lượng sản phẩm đều ổn.
[457] true=positive pred=neutral | good, giao hàng nhanh bìa đẹp
[464] true=positive pred=neutral | giao hàng nhanh, bìa sách rất mịn và mượt. nhưng mà giấy bìa trong bị rách và gãy nếp, chắc do thẻ kẹp sách kẹp ngay đầu trang gây ra
[472] true=positive pred=neutral | chất lượng lượng rất tốt, giao hàng rất nhanh
[480] true=positive pred=neutral | sách chuẩn đẹp giao nhanh! cảm ơn cửa hàng!
[485] true=positive pred=neutral | giao hàng nhanh , thân thiện. tuy nhiên có 1 số lỗi chính tả trong sách
[488] true=positive pred=neutral | giao hàng nhanh, nhưng đây là sách đã xuất bản vào năm ngoái
[489] true=positive pred=neutral | sách đẹp chất lượng tốt mịn đóng gói giao nhanh nma đóng gói hơi qua loa không có đóng gói bve hay gì chỉ nhét vào hộp thui. nma sách vẫn sạch đẹp mới đáng để m...
[492] true=positive pred=neutral | sách chuẩn real, chất lượng lượng, giao hàng nhanh, có điều sách không được đóng gói bao bóng, may không sao
[496] true=positive pred=neutral | giao hàng nhanh chóng, sách không nhăn
[497] true=positive pred=neutral | sách đẹp, giấy mực in dễ đọc. giao hàng nhanh. cảm ơn tiki
[505] true=positive pred=neutral | tiki giao hàng nhanh
[514] true=positive pred=neutral | nội dung sách rất dễ thương , giao hàng nhanh đặt t3 mà t5 đã có ngoại trừ mấy chỗ mép hơi bị lỗi hay bị nhăn gì đó thì tuyệt vời lắm 95/100 nhé
[516] true=positive pred=neutral | lần đầu tiên mình mua sách ở tiki và chắc chắn cũng sẽ là lần cuối cùng. dù giao hàng nhanh, có đóng hộp đàng hoàng bên ngoài sách nhưng hộp móp méo méo hết. sá...
[520] true=positive pred=neutral | giao hàng nhanh lắm luôn. nhưng sách hơi bị gấp cạnh tại do vẫn chuyển hic!! nhưng vì sách xinh nên vẫn cho 5 sao ạ:))
[521] true=positive pred=neutral | giao hàng đúng như ngày dự kiến sách của kulzsc thì khỏi phải bàn gì rồi. nhưng mình mua 2 quyển 1 quyển bình thường còn 1 quyển các mép giấy bị dính vào nhau, ...
[523] true=positive pred=neutral | sách to hơn mình nghĩ, giấy không rách tốt. nhìn đáng yêu muốn lao vô tô liền. giao hàng nhanh đặ từ sáng trưa nhận lun
[525] true=positive pred=neutral | giao nhanh, đẹp, nhưng không có đóng gói may là anh người giao hàng giao nhẹ nhàng nên không quăn sách hay gì cả
[527] true=positive pred=neutral | giao nhanh, vẫn phong cách đóng gói tiki vầ mình bị thiếu mất tờ sticker mặc dù mua bản đặc biệt :))) sách nặng tay, cực đã lun, chất lượng giấy tốt :)))
[528] true=positive pred=neutral | sách rất đẹp nhé nhiều câu nói thú vị lắm á giao hàng cũng nhanh nữa
[530] true=positive pred=neutral | tiki giao hàng siêu nhanh, đóng gói cẩn thận. sách mới, giấy rất dày và đẹp. nội dung đơn giản, phù hợp cho những bạn muốn thư giãn
[536] true=positive pred=neutral | sách rất đẹp, mình tô màu dạ lên cũng rất ổn, người giao hàng dễ thương cực yêu thíchyêu thích
[537] true=positive pred=neutral | hàng chất lượng tốt cực, cửa hàng giao nhanh, mới bữa đặt mà nay có hàng, chất lượng giấy hơi bị cứng?yêu thíchyêu thích?
[538] true=positive pred=neutral | sách xinh và dễ thương lắm ạ, giao đúng thời hạn, nhưng có cái là không được đóng gói bookcard nên hơi bị xước ở góc sách.
[543] true=positive pred=neutral | sản phẩm rất tốt , giao nhanh , cảm ơn giao hàng đã cho mình những trải nghiệm thú vị
[546] true=positive pred=neutral | anh người giao hàng dễ mến! cửa hàng check đơn và bàn giao nhanh! sản phẩm nguyên vẹn và chất lượng tốt ạ!! chất lượng tốt cám ơn!!
[547] true=positive pred=neutral | tiki giao hàng nhanh quá ạ. mình mới đặt tối qua mà nay nhận được rồi. hài lòng lắm ạ. thks tiki
[549] true=positive pred=neutral | giao hàng nhanh bìa sách đẹp ,nội dung hay kèm tô màu,cuốn sách mang thông điệp ý nghĩa
[550] true=positive pred=neutral | giao hàng nhanh chóng, đóng gói tốt, nhân viên người giao hàng thân thiện, hỗ trợ hết mình
[563] true=negative pred=neutral | bìa bị cong mép thời gian vận chuyển lâu
[564] true=positive pred=neutral | sách của anh kulzsc thì tất nhiên là tuyệt rồi, giao hàng nhanh, cẩn thận
[566] true=positive pred=neutral | đã nhận được sản phẩm, giao hàng nhanh, cửa hàng tư vấn nhiệt tình..
[575] true=positive pred=neutral | giao hàng nhanh, tính từ lúc đặt đến khi nhận được là chưa đến 1 ngày đóng gói cẩn thận
[576] true=negative pred=neutral | thái độ nhân viên giao hàng cáu gắt. mình có miss đt khoảng 5p gọi lại. thì bị a giao hàng tl cáu gắt. mình cũng thông cảm khi a giao hàng giữa trời nắng. vấn đ...
[580] true=negative pred=neutral | đáng lẽ cho 1 sao vì thái độ giao hàng của người giao hàng rất vô trách nhiệm, không chịu giao đến địa chỉ nhà của khách mà chỉ đứng lì ngoài đường để chờ khách...
[590] true=positive pred=neutral | hàng giao nhanh cực lun. trưa qua đặt mà sáng mai nhận được gòi với sách cực đẹp nữa
[593] true=positive pred=neutral | giấy sách chất lượng lượng được, giao hàng cũng khá nhanh, file âm thanh phải tải về nhưng download cũng khá dễ dàng và nhanh chóng, file mp3 chất lượng lượng t...
[595] true=negative pred=absent | truyện thiếu nhi, tranh màu đẹp. tiếc là không có bookmark đi kèm.
[614] true=positive pred=neutral | về nội dung : quyển sách thực sự rất cảm động và ý nghĩa . tiki giao nhanh .
[615] true=positive pred=neutral | truyện hay, giao hàng nhanh
[622] true=positive pred=neutral | mua để tặng nên hình ảnh không có liên quan tí nào hết :"p cơ mà về độ gói và giao hàng thì nhbook rất là cẩn thận, giao nhanh, gói hàng cẩn thận. về sách thì 2...
[624] true=positive pred=neutral | giao hàng nhanh sản phẩm tốt tôi rất hài lòng về cửa hàng của bạn
[626] true=positive pred=neutral | tiki chuyển hàng tốt, sách nguyên vẹn.
[627] true=positive pred=neutral | giao hàng nhanh, sách đẹp nữa
[634] true=positive pred=neutral | giao rất nhanh
[639] true=neutral pred=absent | đóng gói và vận chuyện làm móp méo góc sách.
[640] true=positive pred=neutral | giao hàng cực nhanh, sản phẩm chất lượng lượng, luôn ủng hộ tiki
[643] true=positive pred=neutral | giao hàng đúng giờ,độ hoàn thiện của sách khá ổn,nói chung 10/10
[651] true=positive pred=neutral | sản phẩm tốt đọc hayy giao hàng nhanh ổn
[652] true=positive pred=neutral | tiki đóng gói kỹ, vận chuyển nhanh. về hình thức thì sách mới, không bị gãy góc, tiki đóng gói sách cũng rất đẹp, nói chung là mình rất hài lòng. về nội dung th...
[657] true=negative pred=neutral | bên giao hàng nhanh chuyên môn đáp hộp hàng, hàng đến tay bị móp méo thùng, nhiều khi còn bị rách nữa. đã lưu ý tới tiki nhưng tiki mặc kệ.
[660] true=positive pred=neutral | người giao hàng giao đơn hàng tiki này cho mình thật sự dễ thương và tận tâm hết sức! trúng ngày bão nên thấy thương người giao hàng quá. chất lượng tốt cảm ơn ...
[666] true=positive pred=neutral | chất lượng lượng dịch vụ rất tốt. giao hàng nhanh, giá cả hợp lí người giao hàng thân thiện. còn về nội dung thì để các bạn tự đánh giá khi đọc nhé
[671] true=positive pred=neutral | sách trông có vẻ không được mới lắm. tiki giao hàng nhanh. về nội dung sách thì tuyệt vời, nhưng đọc cần sự tập trung cao độ mới thấm được. vì tony fadell không...
[673] true=positive pred=neutral | sách hay, in rõ nét, móp méo 1 chút nhưng không sao, 10d cho sự dth của moon và người giao hàng
[674] true=positive pred=neutral | rất tốt, sản phẩm y như mô tả, giao hàng nhanh!
[676] true=positive pred=neutral | sách hơi bẩn, gấp mép nhẹ. bọc sách đóng gói cẩn thận. đóng gói không chèn lót, băng keo dán đè cả lên sách trên cùng. trang giấy khá mỏng. giao hàng nhanh.
[689] true=positive pred=neutral | hàng giao khá nhanh,sách siêu mới
[711] true=negative pred=neutral | mới mua về mình thấy cái hộp khá là tan nát và mở ra sách tan nát không kém. tuy không nhiều nhưng mình là một người rất kỹ tính trong việc giữ sách đẹp nên đây...
[723] true=positive pred=neutral | sách giao nhanh nhưng bị rách phần bìa, phải mua túi đóng gói sách về đóng gói cho đỡ xót :(;
[736] true=positive pred=neutral | phần bìa hơi bẩn, giao hàng nhanh
[738] true=positive pred=neutral | giao hàng nhanh, người giao hàng thân thiện lắm lun, về phần sách thì không trầy xước xước, nhưng sách bị cong khiến mình hơi đau lòng :(, tóm lại là cũng không...
[744] true=negative pred=neutral | chất lượng lượng in ấn và nội dung sách tốt tuy nhiên chất lượng lượng vận chuyển chưa tốt. sách bìa cứng nên thêm lớp túi bóng chống sốc chẳng hạn, để không bị...
[750] true=positive pred=neutral | giao hàng siêu nhanh, người giao hàng dễ thương, sáchđẹp, tuy nhiên đóng gói sơ xài quá bị cuốn góc vài trang giấy, nói chung tốt
[752] true=positive pred=neutral | chất lượng lượng tốt. giao hàng nhanh. chưa đến 1 ngày, mình có sách đọc rồi. gặp anh người giao hàng khá tốt bụng. mình không có tiền mặt, nên chuyển khoản nhờ...
[759] true=positive pred=neutral | sách ổn! người giao hàng dễ thương thân thiện!
[761] true=negative pred=neutral | sản phẩm tốt, người giao hàng tệ tiếc nuối
[765] true=positive pred=neutral | đọc phần 1 rất hay nên mình đã đặt tiếp phần 2. mọi thứ đều tốt, giao hàng rất nhanh, trừ việc sách bị rách ở trên đầu, đấy giống như sách cũ mang đi giao hàng ...
[768] true=negative pred=neutral | cuốn 1 không dám bình luận vì tâm linh,cuốn 2 hết thấy lôi cuốn vì dẫn giải na ná cuốn 1 và bên rặng tuyết sơn. đọc giống như đang xem tây du kí hay liêu trai c...
[770] true=positive pred=neutral | gửi sách lỗi này. dính mấy trang vào với nhau nên mình cho 3 sao thôi. đọc p1 cuốn quá nên đặt luôn p2. chắc trg tương lai cũng sẽ có p3. còn lại thì tiki giao ...
[772] true=positive pred=neutral | bìa sách bị móp méo trong quá trình vận chuyển. hy vọng tiki sẽ đóng gói sách kĩ càng hơn bằng cách thêm một lớp mút đóng gói lại chẳng hạn, để bảo vệ các cạnh ...
[773] true=positive pred=neutral | giá tốt giao nhanh nhưng in bị lỗi
[777] true=negative pred=neutral | sách có một vài vết mốc màu vàng và dấu hiệu đã được cầm nắm, giao hàng muộn một ngày
[781] true=negative pred=neutral | trang sách thì bị rơi ra riêng lẻ, đầu sách bị móp méo mà sách còn bị gãy gáy mặc dù biết là do sách dày quá nhưng vẫn rất khó chịu á do sách dày với đợi lâu nê...
[783] true=positive pred=neutral | bìa giống hình, giao nhanh
[787] true=positive pred=neutral | mình có đặt sách toeic writing này vào ngày 6/10 tiki giao hàng rất nhanh 7/10 mình đã có hàng nhưng lúc mình nhận hàng kiểm tra thì bộ sách mình nhận thiếu mất...
[789] true=negative pred=absent | cửa hàng ơi, mình không xem được đơn đã đặt nhưng hiện tại mình nhận được 2 cuốn giống nhau, là cuốn joseph pulitzer. cửa hàng đổi giúp mình được không?
[792] true=positive pred=neutral | giao hàng đúng thời hạn. sách không được đóng gói bọc sách nên chưa ứng lắm. nội dung thì rất đáng mong chờ rồi.
[795] true=negative pred=absent | sách đẹp mà giao bị gãy góc
[799] true=negative pred=neutral | giao hàng chậm, không đúng thời gian mô tả
[803] true=positive pred=neutral | giao hàng nhanh chóng bọc sách mua kèm nhưng chưa được đóng gói
[804] true=positive pred=neutral | giao hàng nhanh, đóng gói cẩn thận. mở ra thì sách bìa cứng màu trắng bị bám bẩn, phiên bản không có vỏ áo. mong happy.live lần tái bản tới đổi bìa màu tối cho ...
[813] true=negative pred=absent | cực kỳ thất vọng trong khâu đóng gói và không kiểm hàng trước khi giao. không biết vì lí do gì mà bìa và hơn 80 trang đầu tiên như bị 1 cái gì cắt từ trên xuống...
[814] true=positive pred=neutral | giao cực kỳ nhanh, sách để kho hơi lâu nên bị cong, bao bị rách, nhưng không ảnh hưởng tới sách. thôi giá đó coi như chấp nhận được.
[815] true=positive pred=neutral | nội dung thì có lẽ không phải bàn, vì đây là một tác phẩm kinh điển. vận chuyển khá nhanh, lần sau mình nên lưu ý mua bọc sách của tiki để yên tâm hơn
[821] true=negative pred=neutral | sách giao lâu đã đành nhưng tiki ơi :((( dịch vụ đóng gói chán quá ạ. nhận được cái hộp đã nát còn rách mất một đường.
[833] true=positive pred=neutral | rất thích đặt sách trên tiki nhưng lần này hơi thất vọng 1 xíu :))) vì đóng hộp không được đẹp,hộp bị nhăn và mềm nhưng ngược lại điểm cộng cho tiki là giao hàn...
[834] true=negative pred=neutral | xem lại bộ phận giao sách, trước nay vẫn nhận hàng từ tiki được đóng gói rất chỉn chu và giao dất nhanh nhưng lần này thì sau 4 ngày nhận được hàng không khác g...
[842] true=negative pred=neutral | nội dung hay nhưng tiki giao hàng làm viền sách bị gập nếp
[843] true=positive pred=neutral | giao đúng giờ, hộp nguyên vẹn. nhưng sách có vết bẩn lớn. nội dung đơn giản, dễ hiểu, dễ thực hiện.
[856] true=positive pred=neutral | tiki giao 2 cuốn sách đúng lịch hẹn, nhà cung cấp đóng gói sách cẩn thận, không rõ khâu giữa nhà sách và tiki giao thế nào mà bọc sách bị thiếu và không đóng gó...
[860] true=positive pred=neutral | keo xúc hết. giao hàng thì nhanh, tốt
[863] true=positive pred=neutral | giao hàng nhanh. giấy đẹp. sách tốt
[868] true=negative pred=neutral | mình vừa nhận được hàng nhưng rất không hài lòng về dịch vụ giao hàng. mình rất quý sách nên khi nhận hàng thấy hộp bị móp méo méo tơi tả thật sự rất đau lòng, ...
[871] true=positive pred=neutral | đã nhận được hàng, về tiki giao hàng nhanh khỏi bàn, sản phẩm vẫn còn bao đóng gói nilon đàng hoàng mới keng xà beng luôn, nhưng không hiểu sao bìa sách lại khô...
[877] true=negative pred=absent | giao hàng hàng một tháng, đơn hàng không đi được thì người bán cũng phải phản hồi lại chứ
[878] true=negative pred=absent | sách mới , nhưng không thấy tặng 1 quyển sách khác như giới thiệu .
[881] true=negative pred=neutral | (*) đánh giá không tính điểm hàng giao lâu và không được chất lượng lượng
[896] true=positive pred=neutral | tiki giao hàng cho mình rất sớm nhưng đơn này là đơn đầu mình đặt cùng bọc sách, dù có gọi để xác định sách sẽ được tự động đóng bọc sách mà khi mua thì bọc sác...
[914] true=positive pred=neutral | giao hagf nhanh, đủ số lượng, nhưng mình cảm giác giấy không đẹp
[920] true=positive pred=neutral | cửa hàng giao hàng nhanh, đóng gói cẩn thận, chất lượng lượng hàng đẹp như mô tả tuy sách hơi méo mó chút không được vuông vắn lắm , sẽ ủng hộ tiếp, người giao ...
[922] true=positive pred=neutral | sách có chỗ bị méo mó nhưng giao hàng nhanh.
[942] true=negative pred=absent | mình đặt tới 3 bộ này, mắt nhầm làm sao í mà không thấy tới 3 bộ, có thể đổi 2 bộ khác bằng tiền được không cửa hàng ơi?!
[946] true=negative pred=neutral | gói hàng ẩu, sách không được đóng gói chống sốc. chỉ có 4 cuốn sách vào cái hộp carton. mặc dù đã không còn giãn cách nhưng giao hàng rất lâu. 20/10 mình đặt hà...
[949] true=negative pred=neutral | tiki giao lộn tập 1 rồi, chị đặt mua tập 2. đổi hàng giúp chị
[950] true=negative pred=neutral | người giao hàng giao hàng hàng đi mưa cũng giao hàng, làm sách mình bị ướt @@@&&&&@@@@@@
[952] true=positive pred=neutral | sách phake, giao hàng nhanh
[954] true=negative pred=neutral | đã nhận được sách happy live và tiki gởi hàng nhanh, hơi thất vọng chút, tác giả thái phạm đã đồng ý ký tặng sách , và có ghi chú rõ ràng ở phần địa chỉ, nhưng ...
[957] true=negative pred=neutral | giao hàng chậm, hàng đến không đúng như dự tính, hàng bị bóc, rách , ẩm ướt, nhưng may sách không có vấn đề gì
[966] true=negative pred=absent | đặt cuốn này gửi cuốn khác làm ăn không có tâm
[973] true=negative pred=neutral | nhà sách giao trễ mất 9 ngày so với kế hoạch dự kiến ban đầu
[991] true=negative pred=absent | trên đơn có ghi kèm tặng quyển 10 bước đến thành công; nhưng khi nhận sách thì không có.
[999] true=positive pred=absent | mình đánh giá tác phẩm bình thường, không hay, chỉ ở mức tạm được. +trong truyện có nhiều tình tiết kém hợp lí, mọi người làm theo lời nhân vật chính, yêu cầu g...
[1007] true=negative pred=neutral | vô cùng thất vọng về tài xế giao hàng khu vực thanh lương hai bà trưng. đặt giao hoả tốc 2h, nhưng người giao hàng không giao đúng thời gian, và tự ý bấm cập nh...
[1008] true=negative pred=neutral | chất lượng giấy quá tệ, không khác gì sách lậu, mua 3 quyển của first news 1 lúc mà không thể chấp nhận chất lượng giấy của cuốn nào, dịch nên giao hàng muộn 1 ...
[1012] true=negative pred=neutral | sản phẩm tốt, tuy có bị cong vài chỗ nhưng chấp nhận được. điều mình không thể chấp nhận đó là giao uàng cực kỳ lâu, quá 1 tuần so với dự kiến :)))) gửi *** yêu...
[1013] true=positive pred=negative | giao hang nhanh chong. nhưng mình còn bọc sách nhưng. sản phẩm mình vừa mua không được đóng gói bọc sách. mình đã có tích vào sẵn phẩm đóng gói bọc sách. mong t...
[1014] true=negative pred=neutral | sách mà tiki vận chuyển như thế này, làm gãy gáy sách. nôn nhận được sách có chữ ký sống của bác ánh mà tiki làm mình downmood quá
[1016] true=negative pred=neutral | sách bị nhăn do khâu vận chuyển. đề nghị bên trading xem lại cách vận chuyển
